SEQ_NO,BR_NAME,BR_ID,BR_ADD,BR_CALL,WAIT_NO,,,,,,,,,,,,,,,
137,목동중앙지점,20947,서울 양천구 목동 907-7,02)2647-8001,14,,,,,,,,,,,,,,,
138,아크로비스타금융센터,20955,서울 서초구 서초동 1685-3,02)537-1002,9,,,,,,,,,,,,,,,
139,발산역금융센터,20963,서울 강서구 등촌동 678-7,02)3661-8586,28,,,,,,,,,,,,,,,
140,한남빌리지지점,20974,서울 용산구 한남동 258,02)794-1900,9,,,,,,,,,,,,,,,
141,강남역지점,20991,서울 서초구 서초동 1306-8,02)537-2266,8,,,,,,,,,,,,,,,
142,개포역지점,20996,서울 강남구 개포동 186-13,02)445-9300,26,,,,,,,,,,,,,,,
143,풍납동지점,84123,서울 송파구 풍납동 402-4 정민빌딩,02)486-7600,21,,,,,,,,,,,,,,,
144,TC프리미엄이촌센터,84136,서울 용산구 이촌동 302-52,02)796-5151,7,,,,,,,,,,,,,,,
145,논현중앙지점,84159,서울 강남구 논현동 19-7,02)542-3117,12,,,,,,,,,,,,,,,
146,서초역지점,84163,"서울 서초구 서초동 1543-12,13",02)3473-6969,23,,,,,,,,,,,,,,,
147,암사역지점,84181,서울 강동구 암사동 512-17,02)428-2112,12,,,,,,,,,,,,,,,
148,신압구정금융센터,84192,서울 강남구 신사동 573,02)549-5161,9,,,,,,,,,,,,,,,
149,개포중앙지점,84207,서울 강남구 개포동 655-4,02)578-9700,22,,,,,,,,,,,,,,,
150,가든파이브금융센터,84219,서울 송파구 문정동 289번지외 21필지 가든파이브 웍스(나블럭)SS-0103호,02)2043-0220,27,,,,,,,,,,,,,,,
151,우장산역지점,84220,서울 강서구 내발산동 719-6 송화프라자,02)2667-0061,4,,,,,,,,,,,,,,,
152,삼성타운금융센터,84224,서울 서초구 서초동 1320-10(삼성전자빌딩),02)583-7301,23,,,,,,,,,,,,,,,
153,서강대지점,84225,서울 마포구 신수동 1-1 동문회관 1층,02)701-6363,27,,,,,,,,,,,,,,,
154,증미역지점,84228,서울 강서구 염창동 240-21,02)2658-3366,29,,,,,,,,,,,,,,,
155,구로디지털산단금융센터,84233,서울 구로구 구로동 222-12 마리오타워,02)867-1361,20,,,,,,,,,,,,,,,
156,구로중앙지점,84238,서울 구로구 구로동 611-26 오퍼스상가 1-2층,02)2637-5656,3,,,,,,,,,,,,,,,
157,홍익대지점,84260,서울 마포구 상수동 89-1,02)335-5140,17,,,,,,,,,,,,,,,
158,잠실새내역지점,84278,서울 송파구 잠실동 22번지외 리센츠상가 2층,02)3431-9750~2,27,,,,,,,,,,,,,,,
159,가산디지털지점,84330,서울 금천구 가산동 371-37 STX V-TOWER 107-8호,02)6123-5100,17,,,,,,,,,,,,,,,
160,연신내지점,84368,서울 은평구 대조동 185-11,02)389-7821~2,10,,,,,,,,,,,,,,,
161,삼성엔지니어링지점,84395,서울 강동구 상일동 367-4번지 지상1층,02)488-3694,17,,,,,,,,,,,,,,,
162,코엑스사거리지점,84402,서울 강남구 삼성동 91-31 아남빌딩 2층,02)3448-4561,23,,,,,,,,,,,,,,,
163,센트럴시티지점,84518,서울 서초구 반포동 19-3 센트럴시티,02-6282-2200,11,,,,,,,,,,,,,,,
164,문정중앙금융센터,84522,서울 송파구 문정동 642-3 문정SK V1 GL메트로시티 C동 2층,02-400-8127,30,,,,,,,,,,,,,,,
165,롯데월드타워금융센터,84531,서울 송파구 신천동 29 12층,02)3213-0300,2,,,,,,,,,,,,,,,
166,TC프리미엄잠실센터,84565,서울 송파구 신천동 7-18,02-412-9082,8,,,,,,,,,,,,,,,
167,TCE본점센터,84592,서울 중구 회현동1가 203,02)2002-3000,22,,,,,,,,,,,,,,,
168,TC프리미엄압구정센터,84593,서울시 강남구 신사동 638-13,02)541-3473,8,,,,,,,,,,,,,,,
169,TCE시그니처센터,84599,서울시 강남구 서초동 1317-23,02-562-7964,19,,,,,,,,,,,,,,,
